id,title,price,description,image1,image2,image3,createdAt,updatedAt,category_id,category_name,category_image,category_createdAt,category_updatedAt
10,Coca Cola 2.5L,1200,The best drink in the world!,https://i.imgur.com/wXuQ7bm.jpeg,https://i.imgur.com/BZrIEmb.jpeg,https://i.imgur.com/KcT6BE0.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T23:46:49.000Z,1,Clothes,https://i.imgur.com/QkIa5tT.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
11,Ergonomic Bronze Hat,590,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",https://i.imgur.com/cBuLvBi.jpeg,https://i.imgur.com/N1GkCIR.jpeg,https://i.imgur.com/kKc9A5p.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,1,Clothes,https://i.imgur.com/QkIa5tT.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
12,Refined Metal Gloves,785,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,https://i.imgur.com/KeqG6r4.jpeg,https://i.imgur.com/xGQOw3p.jpeg,https://i.imgur.com/oO5OUjb.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,1,Clothes,https://i.imgur.com/QkIa5tT.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
13,Tasty Rubber Chicken,390,"New ABC 13 9370, 13.3, 5th Gen CoreA5-8250U, 8GB RAM, 256GB SSD, power UHD Graphics, OS 10 Home, OS Office A & J 2016",https://i.imgur.com/UsFIvYs.jpeg,https://i.imgur.com/YIq57b6.jpeg,,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,1,Clothes,https://i.imgur.com/QkIa5tT.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
15,Luxurious Steel Sausages,804,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,https://i.imgur.com/axsyGpD.jpeg,https://i.imgur.com/T8oq9X2.jpeg,https://i.imgur.com/J6MinJn.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,1,Clothes,https://i.imgur.com/QkIa5tT.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
16,Luxurious Frozen Pants,437,New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart,https://i.imgur.com/Y54Bt8J.jpeg,https://i.imgur.com/SZPDSgy.jpeg,https://i.imgur.com/sJv4Xx0.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,1,Clothes,https://i.imgur.com/QkIa5tT.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
17,Sleek Steel Mouse,625,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,https://i.imgur.com/9DqEOV5.jpeg,https://i.imgur.com/ae0AEYn.jpeg,https://i.imgur.com/mZ4rUjj.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,1,Clothes,https://i.imgur.com/QkIa5tT.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
18,Rustic Fresh Bike,152,The Football Is Good For Training And Recreational Purposes,https://i.imgur.com/ZANVnHE.jpeg,https://i.imgur.com/Ro5z6Tn.jpeg,https://i.imgur.com/woA93Li.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
19,Oriental Cotton Car,915,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",https://i.imgur.com/yVeIeDa.jpeg,https://i.imgur.com/jByJ4ih.jpeg,https://i.imgur.com/KXj6Tpb.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
20,Refined Bronze Pants,379,The beautiful range of Apple Naturalé that has an exciting mix of natural ingredients. With the Goodness of 100% Natural Ingredients,https://i.imgur.com/SolkFEB.jpeg,https://i.imgur.com/KIGW49u.jpeg,https://i.imgur.com/mWwek7p.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
21,Practical Concrete Soap,802,The Football Is Good For Training And Recreational Purposes,https://i.imgur.com/keVCVIa.jpeg,https://i.imgur.com/afHY7v2.jpeg,https://i.imgur.com/yAOihUe.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
22,Gorgeous Steel Ball,781,"The automobile layout consists of a front-engine design, with transaxle-type transmissions mounted at the rear of the engine and four wheel drive",https://i.imgur.com/w3Y8NwQ.jpeg,https://i.imgur.com/WJFOGIC.jpeg,https://i.imgur.com/dV4Nklf.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
23,Gorgeous Fresh Shirt,182,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",https://i.imgur.com/OKn1KFI.jpeg,https://i.imgur.com/G4f21Ai.jpeg,https://i.imgur.com/Z9oKRVJ.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
24,Licensed Bronze Shirt,771,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",https://i.imgur.com/ItHcq7o.jpeg,https://i.imgur.com/55GM3XZ.jpeg,https://i.imgur.com/tcNJxoW.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
25,Bespoke Cotton Soap,751,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,https://i.imgur.com/YaSqa06.jpeg,https://i.imgur.com/isQAliJ.jpeg,https://i.imgur.com/5B8UQfh.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
26,Gorgeous Granite Towels,298,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,https://i.imgur.com/yb9UQKL.jpeg,https://i.imgur.com/m2owtQG.jpeg,https://i.imgur.com/bNiORct.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
27,Bespoke Concrete Computer,916,Carbonite web goalkeeper gloves are ergonomically designed to give easy fit,https://i.imgur.com/LGk9Jn2.jpeg,https://i.imgur.com/1ttYWaI.jpeg,https://i.imgur.com/sPRWnJH.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,2,Electronics,https://i.imgur.com/ZANVnHE.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z
28,Tasty Cotton Keyboard,727,"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J",https://i.imgur.com/Qphac99.jpeg,https://i.imgur.com/dJjpEgG.jpeg,https://i.imgur.com/MxJyADq.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,3,siuuu,https://i.imgur.com/Qphac99.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T16:51:57.000Z
29,Modern Rubber Chair,253,"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design",https://i.imgur.com/DMQHGA0.jpeg,https://i.imgur.com/qrs9QBg.jpeg,https://i.imgur.com/XVp8T1I.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,3,siuuu,https://i.imgur.com/Qphac99.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T16:51:57.000Z
30,Refined Soft Bike,530,"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals",https://i.imgur.com/NWIJKUj.jpeg,https://i.imgur.com/Jn1YSLk.jpeg,https://i.imgur.com/VNZRvx5.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T11:22:04.000Z,3,siuuu,https://i.imgur.com/Qphac99.jpeg,2023-12-25T11:22:04.000Z,2023-12-25T16:51:57.000Z
